OrderDate,OrderQuantity,OrderNumber,ProductName,ProductPrice,ProductCost,ProductColor,SubcategoryName,CategoryName,FirstName,LastName,Gender,EducationLevel,Occupation,MaritalStatus,Country,Region
2021-01-01 00:00:00,1,SO48795,"Road-250 Black, 48",2181.5625,1320.6838,Black,Road Bikes,Bikes,STACEY,LIANG,F,Partial College,Manual,S,Germany,Germany
2021-01-01 00:00:00,1,SO48796,"Road-250 Black, 48",2181.5625,1320.6838,Black,Road Bikes,Bikes,WENDY,ORTEGA,F,High School,Professional,M,France,France
2021-01-01 00:00:00,1,SO48797,"Road-550-W Yellow, 42",1000.4375,605.6492,Yellow,Road Bikes,Bikes,ALLISON,COX,F,High School,Skilled Manual,M,United States,Northwest
2021-01-01 00:00:00,1,SO48798,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,MARTIN,GARCIA,M,Partial College,Skilled Manual,S,Australia,Australia
2021-01-01 00:00:00,1,SO48799,"Mountain-200 Silver, 38",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,KATHERINE,WASHINGTON,F,Partial College,Professional,S,United States,Southwest
2021-01-01 00:00:00,1,SO48800,"Road-650 Black, 52",699.0982,413.1463,Black,Road Bikes,Bikes,SHANNON,LI,F,Bachelors,Skilled Manual,S,United States,Southeast
2021-01-01 00:00:00,1,SO48801,"Road-650 Red, 44",699.0982,413.1463,Red,Road Bikes,Bikes,ERIC,CHEN,M,Bachelors,Skilled Manual,M,United States,Northwest
2021-01-01 00:00:00,1,SO48802,"Road-550-W Yellow, 40",1000.4375,605.6492,Yellow,Road Bikes,Bikes,EBONY,SARA,F,Partial High School,Professional,M,Australia,Australia
2021-01-02 00:00:00,1,SO48803,"Road-550-W Yellow, 40",1000.4375,605.6492,Yellow,Road Bikes,Bikes,CAITLIN,MORRIS,F,Bachelors,Clerical,M,United Kingdom,United Kingdom
2021-01-02 00:00:00,1,SO48804,"Mountain-200 Silver, 46",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,ALISHA,SHAN,NA,Bachelors,Clerical,M,Germany,Germany
2021-01-02 00:00:00,1,SO48805,"Road-650 Red, 52",699.0982,413.1463,Red,Road Bikes,Bikes,JAMIE,DOMINGUEZ,M,Bachelors,Clerical,S,France,France
2021-01-02 00:00:00,1,SO48806,"Road-650 Black, 48",699.0982,413.1463,Black,Road Bikes,Bikes,TERRY,XIE,M,Bachelors,Clerical,S,United Kingdom,United Kingdom
2021-01-02 00:00:00,1,SO48807,"Road-650 Red, 62",699.0982,413.1463,Red,Road Bikes,Bikes,HENRY,SARA,M,Bachelors,Clerical,M,United Kingdom,United Kingdom
2021-01-02 00:00:00,1,SO48808,"Road-250 Red, 44",2443.35,1518.7864,Red,Road Bikes,Bikes,JOE,SANCHEZ,M,Bachelors,Clerical,M,Germany,Germany
2021-01-02 00:00:00,1,SO48809,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,CESAR,PRASAD,M,Bachelors,Professional,S,Australia,Australia
2021-01-02 00:00:00,1,SO48810,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,KRISTI,MORENO,F,Bachelors,Professional,S,Australia,Australia
2021-01-02 00:00:00,1,SO48811,"Road-650 Black, 60",699.0982,413.1463,Black,Road Bikes,Bikes,THOMAS,EDWARDS,M,Graduate Degree,Professional,S,United States,Southwest
2021-01-02 00:00:00,1,SO48812,"Mountain-200 Silver, 46",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,BRENDA,ARUN,F,Bachelors,Professional,S,Australia,Australia
2021-01-02 00:00:00,1,SO48813,"Mountain-200 Black, 46",2049.0982,1105.81,Black,Mountain Bikes,Bikes,JOE,SUBRAM,M,Bachelors,Professional,M,Australia,Australia
2021-01-02 00:00:00,1,SO48814,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,ARMANDO,ALONSO,M,Partial High School,Professional,S,Australia,Australia
2021-01-03 00:00:00,1,SO48815,"Road-250 Black, 52",2181.5625,1320.6838,Black,Road Bikes,Bikes,HECTOR,TORRES,M,Graduate Degree,Manual,S,United Kingdom,United Kingdom
2021-01-03 00:00:00,1,SO48816,"Mountain-200 Silver, 46",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,STEFANIE,RODRIGUEZ,F,Bachelors,Clerical,S,United Kingdom,United Kingdom
2021-01-03 00:00:00,1,SO48817,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,CHRISTOPHER,WHITE,M,High School,Professional,M,Canada,Canada
2021-01-03 00:00:00,1,SO48818,"Road-650 Black, 58",699.0982,413.1463,Black,Road Bikes,Bikes,KATELYN,PHILLIPS,F,Bachelors,Professional,M,United States,Southwest
2021-01-03 00:00:00,1,SO48819,"Mountain-200 Silver, 38",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,ALAN,WANG,M,Partial High School,Professional,M,Australia,Australia
2021-01-03 00:00:00,1,SO48820,"Mountain-200 Black, 38",2049.0982,1105.81,Black,Mountain Bikes,Bikes,DIANE,MARTIN,F,Bachelors,Professional,M,Australia,Australia
2021-01-03 00:00:00,1,SO48821,"Road-250 Black, 58",2181.5625,1320.6838,Black,Road Bikes,Bikes,SHARON,XU,F,High School,Skilled Manual,S,Australia,Australia
2021-01-04 00:00:00,1,SO48822,"Road-250 Black, 58",2181.5625,1320.6838,Black,Road Bikes,Bikes,GERALD,GOMEZ,M,Graduate Degree,Clerical,S,United Kingdom,United Kingdom
2021-01-04 00:00:00,1,SO48823,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,MARY,CARTER,F,Bachelors,Management,M,Germany,Germany
2021-01-04 00:00:00,1,SO48824,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,IVAN,PEREZ,M,Graduate Degree,Management,S,Australia,Australia
2021-01-04 00:00:00,1,SO48825,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,DAMIEN,LIN,M,Bachelors,Professional,S,Australia,Australia
2021-01-04 00:00:00,1,SO48826,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,WILLIE,YUAN,M,Graduate Degree,Management,S,Australia,Australia
2021-01-04 00:00:00,1,SO48827,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,BRIAN,GRAY,M,Graduate Degree,Management,S,United States,Northwest
2021-01-04 00:00:00,1,SO48828,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,JAVIER,BROWNING,M,High School,Professional,S,Australia,Australia
2021-01-04 00:00:00,1,SO48829,"Road-250 Red, 44",2443.35,1518.7864,Red,Road Bikes,Bikes,DANNY,RAMOS,M,High School,Professional,M,Australia,Australia
2021-01-05 00:00:00,1,SO48830,"Road-250 Red, 58",2181.5625,1320.6838,Red,Road Bikes,Bikes,SHAWNA,JAI,F,Partial College,Manual,M,United Kingdom,United Kingdom
2021-01-05 00:00:00,1,SO48831,"Road-650 Red, 44",699.0982,413.1463,Red,Road Bikes,Bikes,BRUCE,RAMAN,M,Bachelors,Clerical,M,United Kingdom,United Kingdom
2021-01-05 00:00:00,1,SO48832,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,BRITTNEY,WU,F,Bachelors,Professional,M,Australia,Australia
2021-01-05 00:00:00,1,SO48833,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,MONIQUE,MORENO,F,High School,Skilled Manual,M,Australia,Australia
2021-01-05 00:00:00,1,SO48834,"Mountain-200 Silver, 38",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,JOCELYN,DIAZ,F,Partial College,Professional,M,United States,Southwest
2021-01-05 00:00:00,1,SO48835,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,BRIANNA,GONZALES,F,Partial College,Skilled Manual,S,Canada,Canada
2021-01-05 00:00:00,1,SO48836,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,EBONY,CARLSON,F,Graduate Degree,Management,M,Australia,Australia
2021-01-06 00:00:00,1,SO48837,"Road-250 Red, 58",2181.5625,1320.6838,Red,Road Bikes,Bikes,VERONICA,GONZALEZ,F,Bachelors,Management,M,Australia,Australia
2021-01-06 00:00:00,1,SO48838,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,BRAD,RAJI,M,Graduate Degree,Management,S,Australia,Australia
2021-01-07 00:00:00,1,SO48839,"Road-250 Red, 44",2443.35,1518.7864,Red,Road Bikes,Bikes,ERICK,LOPEZ,M,Graduate Degree,Skilled Manual,S,Germany,Germany
2021-01-07 00:00:00,1,SO48840,"Road-250 Red, 48",2443.35,1518.7864,Red,Road Bikes,Bikes,KENDRA,SANZ,F,Bachelors,Clerical,S,United Kingdom,United Kingdom
2021-01-07 00:00:00,1,SO48841,"Road-550-W Yellow, 38",1000.4375,605.6492,Yellow,Road Bikes,Bikes,CESAR,GONZALEZ,M,Bachelors,Clerical,M,France,France
2021-01-07 00:00:00,1,SO48842,"Mountain-200 Silver, 38",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,TODD,HUANG,M,Graduate Degree,Clerical,M,United Kingdom,United Kingdom
2021-01-07 00:00:00,1,SO48843,"Road-650 Red, 62",699.0982,413.1463,Red,Road Bikes,Bikes,EMILY,THOMPSON,F,Bachelors,Skilled Manual,S,United States,Northwest
2021-01-07 00:00:00,1,SO48844,"Road-650 Black, 44",699.0982,413.1463,Black,Road Bikes,Bikes,GRACE,LONG,F,Bachelors,Skilled Manual,S,United States,Northwest
2021-01-07 00:00:00,1,SO48845,"Mountain-200 Black, 46",2049.0982,1105.81,Black,Mountain Bikes,Bikes,DAMIEN,YE,M,Bachelors,Professional,S,Australia,Australia
2021-01-07 00:00:00,1,SO48846,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,JERRY,SHARMA,M,Partial High School,Management,M,Australia,Australia
2021-01-07 00:00:00,1,SO48847,"Road-550-W Yellow, 40",1000.4375,605.6492,Yellow,Road Bikes,Bikes,GABRIEL,BAKER,M,High School,Skilled Manual,M,United States,Northwest
2021-01-08 00:00:00,1,SO48848,"Road-550-W Yellow, 40",1000.4375,605.6492,Yellow,Road Bikes,Bikes,TERRANCE,SMITH,M,High School,Manual,S,United Kingdom,United Kingdom
2021-01-08 00:00:00,1,SO48849,"Mountain-200 Black, 42",2049.0982,1105.81,Black,Mountain Bikes,Bikes,IAN,FLORES,M,Partial High School,Skilled Manual,M,France,France
2021-01-08 00:00:00,1,SO48850,"Mountain-200 Silver, 38",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,SHEENA,NARA,F,Partial College,Manual,S,France,France
2021-01-08 00:00:00,1,SO48851,"Mountain-200 Silver, 42",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,DAVID,SIMPSON,M,Partial College,Professional,M,United States,Northwest
2021-01-08 00:00:00,1,SO48852,"Road-650 Red, 62",699.0982,413.1463,Red,Road Bikes,Bikes,CAITLIN,JAMES,F,Bachelors,Skilled Manual,S,United States,Northwest
2021-01-08 00:00:00,1,SO48853,"Road-650 Black, 62",699.0982,413.1463,Black,Road Bikes,Bikes,DESIREE,NAVARRO,F,Bachelors,Professional,S,United States,Southwest
2021-01-08 00:00:00,1,SO48854,"Mountain-200 Silver, 42",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,RONALD,SAI,M,Partial High School,Professional,S,Australia,Australia
2021-01-08 00:00:00,1,SO48855,"Mountain-200 Silver, 42",2071.4196,1117.8559,Silver,Mountain Bikes,Bikes,ANDRES,RAJI,M,Bachelors,Professional,M,Australia,Australia
2021-01-08 00:00:00,1,SO48856,"Mountain-200 Black, 38",2049.0982,1105.81,Black,Mountain Bikes,Bikes,GLENN,ZHANG,M,Bachelors,Professional,S,Australia,Australia
2021-01-08 00:00:00,1,SO48857,"Road-650 Black, 52",699.0982,413.1463,Black,Road Bikes,Bikes,BRUCE,MORENO,M,Graduate Degree,Management,M,Australia,Australia
2021-01-09 00:00:00,1,SO48858,"Road-250 Red, 44",2443.35,1518.7864,Red,Road Bikes,Bikes,DENISE,RAMAN,F,Partial College,Manual,S,France,France
2021-01-09 00:00:00,1,SO48859,"Road-250 Black, 44",2181.5625,1320.6838,Black,Road Bikes,Bikes,SCOTT,SEELY,F,Partial High School,Professional,M,Germany,Germany
2021-01-09 00:00:00,1,SO48860,"Road-250 Black, 48",2181.5625,1320.6838,Black,Road Bikes,Bikes,PRESTON,RODRIGUEZ,M,Partial College,Clerical,S,United States,Northwest
